partition,client_id,mean_effective_lambda,observations,mean_reliability,mean_prediction_entropy
beta_0.1,48,0.2940255803120675,5,0.3050718496243159,0.9157792268948493
beta_0.1,49,0.3276747254400402,3,0.3358549475669861,0.9295693012649536
beta_0.1,50,0.3431359274658219,3,0.36574172352751094,0.8927643224007129
beta_0.1,51,0.30198462534576287,5,0.3314617472035544,0.887288465158032
beta_0.1,52,0.28868466310575713,1,0.30876768061092924,0.8895931321774618
beta_0.1,53,0.3804775084810697,7,0.40771014615893364,0.8904385959558645
beta_0.1,54,0.3413374858691351,2,0.39022720498698094,0.8646855825113945
beta_0.1,55,0.34029355543362616,4,0.3500024126842618,0.9275176164998946
beta_0.1,56,0.2648312623139832,6,0.2894150263496808,0.8895194931027425
beta_0.1,58,0.26789663175267303,3,0.28737337280202796,0.890535438929744
beta_0.1,59,0.3267135025058441,3,0.33602526121669346,0.9278612867837515
beta_0.1,60,0.3276807413307047,2,0.3444538991898298,0.9084728539239146
beta_0.1,61,0.27476403017011186,2,0.2818930000066757,0.9267645257072019
beta_0.1,62,0.23904992489015248,2,0.24389074636357172,0.9357619227000677
beta_0.1,63,0.41186633337502454,3,0.49638602137565613,0.8382246883380521
beta_0.1,64,0.35363886613166384,3,0.5006841310748348,0.7916222472722149
beta_0.1,65,0.29233451799465104,4,0.3102461053058505,0.9076024751809775
beta_0.1,66,0.2631972805411655,5,0.29473247319459916,0.8697167198086149
beta_0.1,67,0.26356649388790154,1,0.27151565439999104,0.9213182188311309
beta_0.1,68,0.3078104003523011,2,0.32243871688842773,0.9079285322876998
beta_0.1,69,0.37869995449072236,3,0.4132943054040273,0.8808235097576578
beta_0.1,70,0.2656040708437821,3,0.2756960994253556,0.9146264450559659
beta_0.1,72,0.3366899684781637,5,0.3657465526035854,0.8905364553068849
beta_0.1,73,0.2993240810754916,5,0.30855734646320343,0.9215871892887076
beta_0.1,74,0.32729628410776346,5,0.34749415293335917,0.9010533505525853
beta_0.1,75,0.3351370004386862,2,0.3495679519006184,0.9096064985622734
beta_0.1,77,0.3147119808206854,4,0.32540221565536087,0.9229488052448938
