dataset,partition,client_id,mean_effective_lambda,observations,source
CIFAR-100,iid,66,0.23163030296564102,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,67,0.19907788932323456,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,69,0.2462618388235569,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,70,0.21621021628379822,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,71,0.20512104779481888,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,72,0.20800776779651642,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,73,0.20653064052263895,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,74,0.24143681426843008,6,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,75,0.20979339629411697,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,76,0.22930947840213775,5,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,77,0.23317148784796396,6,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,78,0.23545735081036887,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,79,0.23471641540527344,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,80,0.22503705322742462,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,81,0.24484506547451018,5,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,82,0.19232460856437683,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,83,0.24332949022452036,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,84,0.20938149591286978,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,85,0.23756566643714905,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,86,0.23572924733161926,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,87,0.21627721935510635,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,88,0.22501240173975626,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,89,0.23097389936447144,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,90,0.22468952337900797,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,91,0.21343383938074112,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,92,0.22326458990573883,6,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,93,0.203778725117445,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,94,0.21461734920740128,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,95,0.21453343828519186,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,96,0.21444881334900856,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,97,0.19370205700397491,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,98,0.23062819242477417,5,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,iid,99,0.2480505332350731,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_granularity_temperature_canonical_no_feature/iid/seed0/js_client/cifar100_iid_js_client_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,0,0.1670183777809143,5,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,1,0.19555535912513733,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,2,0.16386714577674866,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,3,0.15756336351235709,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,4,0.1715543121099472,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,5,0.13191881775856018,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,6,0.16191557049751282,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,7,0.16350887715816498,2,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,8,0.19866141180197397,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,9,0.16662989556789398,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,10,0.17478013535340628,3,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,11,0.16567450016736984,4,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
CIFAR-100,beta_0.3,12,0.17278116941452026,1,/home/minss/fl/DXFL/logs/lambda/adaptive/logs_js_client_lmax_crosscheck_canonical_no_feature/cifar100/beta_0.3/seed0/lmax1p00/cifar100_beta_0.3_js_client_lmax1p00_tau0p85_tkd1p00_canonical_nofeat_seed0_r500.pkl
